state,governor,party,data entered,state health uninsured
Alabama,Kay Ivey,Republican,10-Apr-17,10
Alaska,Mike Dunleavy,Republican,3-Dec-18,12.6
Arizona,Doug Ducey,Republican,5-Jan-15,10.6
Arkansas,Asa Hutchinson,Republican,13-Jan-15,8.2
California,Gavin Newsom,Democratic,2019,7.2
Colorado,Jared Polis,Democratic,2019,7.5
Connecticut,Ned Lamont,Democratic,2019,5.3
Delaware,John C. Carney Jr.,Democratic,17-Jan-17,5.7
Florida,Ron DeSantis,Republican,8-Jan-19,13
Georgia,Brian Kemp,Republican,14-Jan-19,13.7
Hawaii,David Ige,Democratic,1-Dec-14,4.1
Idaho,Brad Little,Republican,2019,11.1
Illinois,J.B. Pritzker,Democratic,2019,7
Indiana,Eric Holcomb,Republican,9-Jan-17,8.3
Iowa,Kim Reynolds,Republican,24-May-17,4.7
Kansas,Laura Kelly,Democratic,14-Jan-19,8.8
Kentucky,Andy Beshear,Democratic,10-Dec-19,5.6
Louisiana,John Bel Edwards,Democratic,11-Jan-16,8
Maine,Janet T. Mills,Democratic,2-Jan-19,8
Maryland,Larry Hogan,Republican,21-Jan-15,6
Massachusetts,Charles D. Baker,Republican,8-Jan-15,2.8
Michigan,Gretchen Whitmer,Democratic,1-Jan-19,5.4
Minnesota,Tim Walz,Democratic,7-Jan-19,4.4
Mississippi,Tate Reeves,Republican,14-Jan-20,12.1
Missouri,Mike Parson,Republican,1-Jun-18,9.4
Montana,Steve Bullock,Democratic,7-Jan-13,8.2
Nebraska,Pete Ricketts,Republican,8-Jan-15,8.3
Nevada,Steve Sisolak,Democratic,2019,11.2
New Hampshire,Chris Sununu,Republican,5-Jan-17,5.7
New Jersey,Phil Murphy,Democratic,2018,7.4
New Mexico,Michelle Lujan Grisham,Democratic,1-Jan-19,9.5
New York,Andrew Cuomo,Democratic,1-Jan-11,5.4
North Carolina,Roy Cooper,Democratic,1-Jan-17,10.7
North Dakota,Doug Burgum,Republican,15-Dec-16,7.3
Ohio,Richard Michael DeWine,Republican,14-Jan-19,6.5
Oklahoma,Kevin Stitt,Republican,14-Jan-19,14.2
Oregon,Kate Brown,Democratic,2015,7.1
Pennsylvania,Tom Wolf,Democratic,20-Jan-15,5.5
Rhode Island,Gina Raimondo,Democratic,6-Jan-15,4.1
South Carolina,Henry McMaster,Republican,24-Jan-17,10.5
South Dakota,Kristi L. Noem,Republican,2019,9.8
Tennessee,Bill Lee,Republican,15-Jan-19,10.1
Texas,Greg Abbott,Republican,2015,17.7
Utah,Gary Herbert,Republican,11-Aug-09,9.4
Vermont,Phil Scott,Republican,5-Jan-17,4
Virginia,Ralph Northam,Democratic,10-Jan-18,8.8
Washington,Jay Inslee,Democratic,16-Jan-13,6.4
West Virginia,Jim Justice,Republican,16-Jan-17,6.4
Wisconsin,Tony Evers,Democratic,2019,5.5
Wyoming,Mark Gordon,Republican,2019,10.5
