,state,cluster group,governor,party,data entered,state health uninsured
0,Alabama,7,Kay Ivey,Republican,10-Apr-17,10.0
1,Alaska,3,Mike Dunleavy,Republican,3-Dec-18,12.6
2,Arizona,6,Doug Ducey,Republican,5-Jan-15,10.6
3,Arkansas,3,Asa Hutchinson,Republican,13-Jan-15,8.2
4,California,1,Gavin Newsom,Democratic,2019,7.2
5,Colorado,3,Jared Polis,Democratic,2019,7.5
6,Connecticut,0,Ned Lamont,Democratic,2019,5.3
7,Delaware,3,John C. Carney Jr.,Democratic,17-Jan-17,5.7
8,Florida,4,Ron DeSantis,Republican,8-Jan-19,13.0
9,Georgia,6,Brian Kemp,Republican,14-Jan-19,13.7
10,Hawaii,3,David Ige,Democratic,1-Dec-14,4.1
11,Idaho,3,Brad Little,Republican,2019,11.1
12,Illinois,5,J.B. Pritzker,Democratic,2019,7.0
13,Indiana,0,Eric Holcomb,Republican,9-Jan-17,8.3
14,Iowa,3,Kim Reynolds,Republican,24-May-17,4.7
15,Kansas,3,Laura Kelly,Democratic,14-Jan-19,8.8
16,Kentucky,3,Andy Beshear,Democratic,10-Dec-19,5.6
17,Louisiana,7,John Bel Edwards,Democratic,11-Jan-16,8.0
18,Maine,3,Janet T. Mills,Democratic,2-Jan-19,8.0
19,Maryland,0,Larry Hogan,Republican,21-Jan-15,6.0
20,Massachusetts,5,Charles D. Baker,Republican,8-Jan-15,2.8
21,Michigan,0,Gretchen Whitmer,Democratic,1-Jan-19,5.4
22,Minnesota,3,Tim Walz,Democratic,7-Jan-19,4.4
23,Mississippi,3,Tate Reeves,Republican,14-Jan-20,12.1
24,Missouri,3,Mike Parson,Republican,1-Jun-18,9.4
25,Montana,3,Steve Bullock,Democratic,7-Jan-13,8.2
26,Nebraska,3,Pete Ricketts,Republican,8-Jan-15,8.3
27,Nevada,3,Steve Sisolak,Democratic,2019,11.2
28,New Hampshire,3,Chris Sununu,Republican,5-Jan-17,5.7
29,New Jersey,5,Phil Murphy,Democratic,2018,7.4
30,New Mexico,3,Michelle Lujan Grisham,Democratic,1-Jan-19,9.5
31,New York,2,Andrew Cuomo,Democratic,1-Jan-11,5.4
32,North Carolina,7,Roy Cooper,Democratic,1-Jan-17,10.7
33,North Dakota,3,Doug Burgum,Republican,15-Dec-16,7.3
34,Ohio,0,Richard Michael DeWine,Republican,14-Jan-19,6.5
35,Oklahoma,3,Kevin Stitt,Republican,14-Jan-19,14.2
36,Oregon,3,Kate Brown,Democratic,2015,7.1
37,Pennsylvania,0,Tom Wolf,Democratic,20-Jan-15,5.5
38,Rhode Island,3,Gina Raimondo,Democratic,6-Jan-15,4.1
39,South Carolina,7,Henry McMaster,Republican,24-Jan-17,10.5
40,South Dakota,3,Kristi L. Noem,Republican,2019,9.8
41,Tennessee,7,Bill Lee,Republican,15-Jan-19,10.1
42,Texas,1,Greg Abbott,Republican,2015,17.7
43,Utah,3,Gary Herbert,Republican,11-Aug-09,9.4
44,Vermont,3,Phil Scott,Republican,5-Jan-17,4.0
45,Virginia,0,Ralph Northam,Democratic,10-Jan-18,8.8
46,West Virginia,3,Jim Justice,Republican,16-Jan-17,6.4
47,Wisconsin,3,Tony Evers,Democratic,2019,5.5
48,Wyoming,3,Mark Gordon,Republican,2019,10.5
