date,state,fips,cases,deaths,daily case,daily death
7/20/2020,Alabama,1,68891,1291,1880,4
7/19/2020,Alabama,1,67011,1287,1777,1
7/18/2020,Alabama,1,65234,1286,2143,21
7/17/2020,Alabama,1,63091,1265,2003,35
7/16/2020,Alabama,1,61088,1230,2021,19
7/15/2020,Alabama,1,59067,1211,1812,47
7/14/2020,Alabama,1,57255,1164,1710,40
7/13/2020,Alabama,1,55545,1124,1958,3
7/12/2020,Alabama,1,53587,1121,1640,7
7/11/2020,Alabama,1,51947,1114,1439,10
7/10/2020,Alabama,1,50508,1104,1334,36
7/9/2020,Alabama,1,49174,1068,2212,10
7/8/2020,Alabama,1,46962,1058,1177,25
7/7/2020,Alabama,1,45785,1033,907,26
7/6/2020,Alabama,1,44878,1007,925,0
7/5/2020,Alabama,1,43953,1007,1091,0
7/4/2020,Alabama,1,42862,1007,997,1
7/3/2020,Alabama,1,41865,1006,1754,21
7/2/2020,Alabama,1,40111,985,1149,13
7/1/2020,Alabama,1,38962,972,917,22
6/30/2020,Alabama,1,38045,950,870,21
6/29/2020,Alabama,1,37175,929,1734,10
6/28/2020,Alabama,1,35441,919,358,0
6/27/2020,Alabama,1,35083,919,900,12
6/26/2020,Alabama,1,34183,907,977,11
6/25/2020,Alabama,1,33206,896,1142,5
6/24/2020,Alabama,1,32064,891,967,27
6/23/2020,Alabama,1,31097,864,643,23
6/22/2020,Alabama,1,30454,841,433,2
6/21/2020,Alabama,1,30021,839,472,1
6/20/2020,Alabama,1,29549,838,547,16
6/19/2020,Alabama,1,29002,822,796,12
6/18/2020,Alabama,1,28206,810,894,20
6/17/2020,Alabama,1,27312,790,400,5
6/16/2020,Alabama,1,26912,785,640,11
6/15/2020,Alabama,1,26272,774,657,1
6/14/2020,Alabama,1,25615,773,1014,0
6/13/2020,Alabama,1,24601,773,891,4
6/12/2020,Alabama,1,23710,769,865,14
6/11/2020,Alabama,1,22845,755,856,11
6/10/2020,Alabama,1,21989,744,567,15
6/9/2020,Alabama,1,21422,729,497,11
6/8/2020,Alabama,1,20925,718,425,26
6/7/2020,Alabama,1,20500,692,457,3
6/6/2020,Alabama,1,20043,689,656,13
6/5/2020,Alabama,1,19387,676,315,23
6/4/2020,Alabama,1,19072,653,221,0
6/3/2020,Alabama,1,18851,653,80,0
6/2/2020,Alabama,1,18771,653,237,7
6/1/2020,Alabama,1,18534,646,582,16
5/31/2020,Alabama,1,17952,630,593,12
5/30/2020,Alabama,1,17359,618,328,8
5/29/2020,Alabama,1,17031,610,501,19
5/28/2020,Alabama,1,16530,591,498,8
5/27/2020,Alabama,1,16032,583,382,3
5/26/2020,Alabama,1,15650,580,664,14
5/25/2020,Alabama,1,14986,566,508,15
5/24/2020,Alabama,1,14478,551,329,2
5/23/2020,Alabama,1,14149,549,479,8
5/22/2020,Alabama,1,13670,541,256,12
5/21/2020,Alabama,1,13414,529,362,7
5/20/2020,Alabama,1,13052,522,676,18
5/19/2020,Alabama,1,12376,504,290,15
5/18/2020,Alabama,1,12086,489,315,1
5/17/2020,Alabama,1,11771,488,97,3
5/16/2020,Alabama,1,11674,485,301,2
5/15/2020,Alabama,1,11373,483,272,10
5/14/2020,Alabama,1,11101,473,401,23
5/13/2020,Alabama,1,10700,450,236,15
5/12/2020,Alabama,1,10464,435,300,32
5/11/2020,Alabama,1,10164,403,275,10
5/10/2020,Alabama,1,9889,393,221,3
5/9/2020,Alabama,1,9668,390,283,7
5/8/2020,Alabama,1,9385,383,339,14
5/7/2020,Alabama,1,9046,369,355,26
5/6/2020,Alabama,1,8691,343,254,28
5/5/2020,Alabama,1,8437,315,325,17
5/4/2020,Alabama,1,8112,298,224,8
5/3/2020,Alabama,1,7888,290,277,2
5/2/2020,Alabama,1,7611,288,317,-1
5/1/2020,Alabama,1,7294,289,226,17
4/30/2020,Alabama,1,7068,272,143,10
4/29/2020,Alabama,1,6925,262,175,20
4/28/2020,Alabama,1,6750,242,211,14
4/27/2020,Alabama,1,6539,228,118,9
4/26/2020,Alabama,1,6421,219,208,6
4/25/2020,Alabama,1,6213,213,187,4
4/24/2020,Alabama,1,6026,209,194,12
4/23/2020,Alabama,1,5832,197,222,-4
4/22/2020,Alabama,1,5610,201,283,15
4/21/2020,Alabama,1,5327,186,249,22
4/20/2020,Alabama,1,5078,164,175,4
4/19/2020,Alabama,1,4903,160,180,13
4/18/2020,Alabama,1,4723,147,151,-4
4/17/2020,Alabama,1,4572,151,168,14
4/16/2020,Alabama,1,4404,137,163,14
4/15/2020,Alabama,1,4241,123,288,9
4/14/2020,Alabama,1,3953,114,148,10
4/13/2020,Alabama,1,3805,104,222,11
4/12/2020,Alabama,1,3583,93,321,0
4/11/2020,Alabama,1,3262,93,254,13
4/10/2020,Alabama,1,3008,80,170,2
4/9/2020,Alabama,1,2838,78,340,11
4/8/2020,Alabama,1,2498,67,301,3
4/7/2020,Alabama,1,2197,64,192,11
4/6/2020,Alabama,1,2005,53,165,8
4/5/2020,Alabama,1,1840,45,208,1
4/4/2020,Alabama,1,1632,44,97,6
4/3/2020,Alabama,1,1535,38,265,6
4/2/2020,Alabama,1,1270,32,162,4
4/1/2020,Alabama,1,1108,28,109,14
3/31/2020,Alabama,1,999,14,52,3
3/30/2020,Alabama,1,947,11,117,6
3/29/2020,Alabama,1,830,5,110,1
3/28/2020,Alabama,1,720,4,81,0
3/27/2020,Alabama,1,639,4,101,1
3/26/2020,Alabama,1,538,3,152,2
3/25/2020,Alabama,1,386,1,144,1
3/24/2020,Alabama,1,242,0,46,0
3/23/2020,Alabama,1,196,0,39,0
3/22/2020,Alabama,1,157,0,26,0
3/21/2020,Alabama,1,131,0,25,0
3/20/2020,Alabama,1,106,0,28,0
3/19/2020,Alabama,1,78,0,27,0
3/18/2020,Alabama,1,51,0,12,0
3/17/2020,Alabama,1,39,0,10,0
3/16/2020,Alabama,1,29,0,6,0
3/15/2020,Alabama,1,23,0,11,0
3/14/2020,Alabama,1,12,0,6,0
3/13/2020,Alabama,1,6,0,6,-16
7/20/2020,Alaska,2,2412,16,137,0
7/19/2020,Alaska,2,2275,16,118,0
7/18/2020,Alaska,2,2157,16,74,1
7/17/2020,Alaska,2,2083,15,49,0
7/16/2020,Alaska,2,2034,15,76,0
7/15/2020,Alaska,2,1958,15,61,0
7/14/2020,Alaska,2,1897,15,54,0
7/13/2020,Alaska,2,1843,15,71,0
7/12/2020,Alaska,2,1772,15,116,0
7/11/2020,Alaska,2,1656,15,77,0
7/10/2020,Alaska,2,1579,15,58,0
7/9/2020,Alaska,2,1521,15,49,0
7/8/2020,Alaska,2,1472,15,49,0
7/7/2020,Alaska,2,1423,15,22,1
7/6/2020,Alaska,2,1401,14,30,0
7/5/2020,Alaska,2,1371,14,32,0
7/4/2020,Alaska,2,1339,14,55,1
7/3/2020,Alaska,2,1284,13,60,1
7/2/2020,Alaska,2,1224,12,50,0
7/1/2020,Alaska,2,1174,12,42,0
6/30/2020,Alaska,2,1132,12,47,0
6/29/2020,Alaska,2,1085,12,25,0
